energy,graphite
258.7067,4.75E-04
264.11554,3.12E-04
264.51554,2.99E-04
264.91554,2.77E-04
265.31554,2.44E-04
265.71554,2.11E-04
266.11554,1.89E-04
266.51554,1.73E-04
266.91554,1.54E-04
267.31554,1.16E-04
267.71554,7.88E-05
268.11554,5.85E-05
268.51554,4.82E-05
268.91554,3.65E-05
269.31554,1.48E-05
269.71554,-6.94E-06
270.11554,-1.25E-05
270.51554,-9.37E-06
270.91554,-8.25E-06
271.31554,-2.05E-05
271.71554,-3.27E-05
272.11554,-3.49E-05
272.51554,-3.19E-05
272.91554,-3.12E-05
273.31554,-4.43E-05
273.71554,-5.74E-05
274.11554,-6.09E-05
274.51554,-5.85E-05
274.91554,-5.76E-05
275.31554,-6.51E-05
275.71554,-7.27E-05
276.11554,-8.20E-05
276.51554,-9.24E-05
276.91554,-1.05E-04
277.31554,-1.28E-04
277.71554,-1.51E-04
278.11554,-2.65E-04
278.51554,-3.36E-04
278.91554,-4.32E-04
279.31554,-2.03E-04
279.71554,-2.56E-04
280.11554,-2.41E-04
280.51554,-2.92E-04
280.91554,-2.03E-04
281.31554,-2.18E-04
281.71554,-1.85E-04
282.11554,-2.52E-04
282.51554,-1.64E-04
282.91554,-1.00E-04
283.31554,1.06E-04
283.71554,1.04E-03
284.11554,5.57E-03
284.51554,1.85E-02
284.91554,3.47E-02
285.31554,3.77E-02
285.71554,2.52E-02
286.11554,1.76E-02
286.51554,1.42E-02
286.91554,1.31E-02
287.31554,1.24E-02
287.71554,1.17E-02
288.11554,1.15E-02
288.51554,1.14E-02
288.91554,1.12E-02
289.31554,1.09E-02
289.71554,1.07E-02
290.11554,1.06E-02
290.51554,1.12E-02
290.91554,1.37E-02
291.31554,1.99E-02
291.71554,2.26E-02
292.11554,2.21E-02
292.51554,2.14E-02
292.91554,2.06E-02
293.31554,1.97E-02
293.71554,1.90E-02
294.11554,1.84E-02
294.51554,1.81E-02
294.91554,1.76E-02
295.31554,1.71E-02
295.71554,1.69E-02
296.11554,1.63E-02
296.51554,1.58E-02
296.91554,1.51E-02
297.31554,1.43E-02
297.71554,1.37E-02
298.11554,1.32E-02
298.51554,1.28E-02
298.91554,1.22E-02
299.31554,1.20E-02
299.71554,1.18E-02
300.11554,1.15E-02
300.51554,1.12E-02
300.91554,1.08E-02
301.31554,1.11E-02
301.71554,1.16E-02
302.11554,1.19E-02
302.51554,1.21E-02
302.91554,1.25E-02
303.31554,1.27E-02
303.71554,1.27E-02
304.11554,1.26E-02
304.51554,1.27E-02
304.91554,1.28E-02
305.31554,1.29E-02
305.71554,1.29E-02
306.11554,1.30E-02
306.51554,1.30E-02
306.91554,1.31E-02
307.31554,1.31E-02
307.71554,1.30E-02
308.11554,1.28E-02
308.51554,1.27E-02
308.91554,1.25E-02
309.31554,1.24E-02
309.71554,1.21E-02
310.11554,1.18E-02
310.51554,1.15E-02
310.91554,1.12E-02
311.31554,1.09E-02
311.71554,1.06E-02
312.11554,1.04E-02
312.51554,1.02E-02
312.91554,9.95E-03
313.31554,9.72E-03
313.71554,9.57E-03
314.11554,9.47E-03
314.51554,9.37E-03
314.91554,9.27E-03
315.31554,9.17E-03
315.71554,9.07E-03
316.11554,9.00E-03
316.51554,8.93E-03
316.91554,8.86E-03
317.31554,8.80E-03
317.71554,8.73E-03
318.11554,8.64E-03
318.51554,8.55E-03
318.91554,8.46E-03
319.31554,8.36E-03
319.71554,8.27E-03
320.11554,8.18E-03
320.51554,8.15E-03
320.91554,8.13E-03
321.31554,8.11E-03
321.71554,8.09E-03
322.11554,8.07E-03
322.51554,8.05E-03
322.91554,8.09E-03
323.31554,8.13E-03
323.71554,8.18E-03
324.11554,8.22E-03
324.51554,8.27E-03
324.91554,8.31E-03
325.31554,8.36E-03
325.71554,8.41E-03
326.11554,8.46E-03
326.51554,8.50E-03
326.91554,8.55E-03
327.31554,8.60E-03
327.71554,8.64E-03
328.11554,8.65E-03
328.51554,8.66E-03
328.91554,8.68E-03
329.31554,8.69E-03
329.71554,8.70E-03
330.11554,8.72E-03
330.51554,8.68E-03
330.91554,8.64E-03
331.31554,8.59E-03
331.71554,8.55E-03
332.11554,8.50E-03
332.51554,8.46E-03
332.91554,8.41E-03
333.31554,8.34E-03
333.71554,8.26E-03
334.11554,8.19E-03
334.11554,8.19E-03
342.73972,6.98E-03
352.04971,6.57E-03
362.04549,6.51E-03
372.72706,6.00E-03
384.09444,5.51E-03
396.14761,5.09E-03
408.88658,4.70E-03
422.31134,4.04E-03
436.4219,3.81E-03
443.71883,3.74E-03
